gene_symbol,type,soc,auroc,wt_pvalue,ttest_statistic,ttest_pvalue
CYP2C9,enzyme,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.469861111111111,0.69620872872767,-2.93875085462984,0.998344825554951
CYP1A1,enzyme,Psychiatric disorders,0.790322580645161,0.0458592197177257,12.0674515472465,2.80201561897041e-28
CYP1B1,enzyme,Psychiatric disorders,0.430335097001764,0.721375560279486,-3.87613711014986,0.999941439425323
CYP2C8,enzyme,Psychiatric disorders,0.489035087719298,0.55783327216132,-2.03356958136212,0.978942881588853
CYP17A1,target,Endocrine disorders,0.161111111111111,0.949107159269271,-60.3720675618545,1
CYP1A1,enzyme,Metabolism and nutrition disorders,0.642276422764228,0.20206442252419,8.4469988448866,5.24748714888785e-16
CYP1B1,enzyme,Metabolism and nutrition disorders,0.586010709504685,0.235477414037048,6.66063818293595,2.98897203415003e-11
CYP2D6,enzyme,Gastrointestinal disorders,0.513527712109272,0.412455922742251,-5.80269042392384,0.999999996506651
CYP2C9,enzyme,Eye disorders,0.611772486772487,0.057872944735193,11.5884061768021,2.07320008727656e-30
CYP2C19,enzyme,Eye disorders,0.544117647058824,0.396075552771559,4.17270404162822,1.71588041457251e-05
CYP2D6,enzyme,Eye disorders,0.476446492575525,0.633650382365549,-0.615923701654404,0.73100284639565
CYP2E1,enzyme,Eye disorders,0.548611111111111,0.322835771551521,1.18015966886565,0.119118084447792
CYP2E1,enzyme,Vascular disorders,0.447574013157895,0.761556084711138,-4.14519153287408,0.999982211553005
CYP2E1,enzyme,Skin and subcutaneous tissue disorders,0.435746699669967,0.777611800402436,-1.94956346380731,0.97427410576424
CYP3A7,enzyme,Blood and lymphatic system disorders,0.532986111111111,0.359711312243007,2.45959996582978,0.00701150682799711
CYP3A7-CYP3A51P,enzyme,Blood and lymphatic system disorders,0.507201646090535,0.462412451820758,0.0843808064502439,0.466380297653877
CYP2C19,enzyme,Immune system disorders,0.673611111111111,0.175381117639698,17.5436269771434,5.23914348772126e-55
CYP2C19,enzyme,Infections and infestations,0.666666666666667,0.230051558417102,7.3663091738874,1.36033837183146e-12
CYP2E1,enzyme,General disorders and administration site conditions,0.499807098765432,0.50157015781055,-3.76206550617186,0.999912928672351
CYP2E1,enzyme,"Injury, poisoning and procedural complications",0.603877314814815,0.158635496891476,9.02569670075759,5.56974143489695e-19
CYP2D6,enzyme,Blood and lymphatic system disorders,0.632732732732733,0.0478090461657152,16.0293788022424,1.95576794342235e-54
CYP2E1,enzyme,Blood and lymphatic system disorders,0.456587837837838,0.73691831257726,-6.5505795417444,0.9999999999656
CYP2B6,enzyme,"Respiratory, thoracic and mediastinal disorders",0.495745745745746,0.524477849572156,-3.06339372749367,0.998894104349907
CYP2E1,enzyme,"Respiratory, thoracic and mediastinal disorders",0.506756756756757,0.458518924881685,5.4989472327236,2.05036195027414e-08
CYP2E1,enzyme,Metabolism and nutrition disorders,0.447337962962963,0.762494500232285,-7.6584337515991,0.999999999999985
CYP2E1,enzyme,Gastrointestinal disorders,0.374131944444444,0.887752045611459,-8.49570157439839,1
CYP2E1,enzyme,Renal and urinary disorders,0.409114583333333,0.854581737059962,-7.64212401907802,0.99999999999998
CYP2C8,enzyme,Blood and lymphatic system disorders,0.508101851851852,0.466793079441066,0.928813685757252,0.176563113201899
CYP3A5,enzyme,Ear and labyrinth disorders,0.259259259259259,0.954210191775008,-14.3627872082639,1
CYP3A7,enzyme,Ear and labyrinth disorders,0.0833333333333333,0.988065778917713,-17.3890674372429,1
CYP3A7-CYP3A51P,enzyme,Ear and labyrinth disorders,0.333333333333333,0.869195597680312,-3.97875022125509,0.999963290425019
CYP2C8,enzyme,Ear and labyrinth disorders,0.479166666666667,0.58466787879802,0.410119591776011,0.340915313455292
CYP3A5,enzyme,"Respiratory, thoracic and mediastinal disorders",0.375730994152047,0.942407267197667,-13.4371925885291,1
CYP3A7,enzyme,"Respiratory, thoracic and mediastinal disorders",0.42286036036036,0.806053409495656,-6.40314918825647,0.999999999902356
CYP3A7-CYP3A51P,enzyme,"Respiratory, thoracic and mediastinal disorders",0.443943943943944,0.778323449883794,-4.73162191516251,0.999998819977134
CYP2E1,enzyme,Nervous system disorders,0.512769396551724,0.423429440888656,1.13094261504462,0.129099657246369
CYP2C18,enzyme,General disorders and administration site conditions,0.522357723577236,0.427297835804602,2.27279664945401,0.0116685694842263
CYP4A11,enzyme,General disorders and administration site conditions,0.49171686746988,0.524682629084859,1.69517685207097,0.0453959598076009
CYP2C18,enzyme,"Injury, poisoning and procedural complications",0.425925925925926,0.695981580966618,-2.66569227175409,0.996027925224462
CYP2C18,enzyme,Skin and subcutaneous tissue disorders,0.598039215686275,0.250623195471157,6.42971941430198,1.6528637352671e-10
CYP1A1,enzyme,Nervous system disorders,0.543965517241379,0.370686459266925,5.55665400750942,2.13545469265684e-08
CYP2B6,enzyme,Psychiatric disorders,0.51462962962963,0.426174462137432,1.78058040400992,0.0375772921389589
CYP2E1,enzyme,Psychiatric disorders,0.369877049180328,0.959684642342947,-20.9757307734416,1
CYP2C9,enzyme,"Respiratory, thoracic and mediastinal disorders",0.521494708994709,0.329971660797673,8.09703143242233,3.30116253105748e-16
CYP2D6,enzyme,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.33695652173913,0.911853118466967,-12.0469127979781,1
CYP2D6,enzyme,Immune system disorders,0.568888888888889,0.290640299303151,2.95231685967062,0.00162969902370686
CYP2C8,enzyme,Immune system disorders,0.4225,0.701831487725341,-3.1135872209316,0.999024422171481
CYP2B6,enzyme,Immune system disorders,0.503333333333333,0.492787107132645,-2.9976200128217,0.99859319516395
CYP3A5,enzyme,Immune system disorders,0.314444444444445,0.935719190283945,-18.9320391105397,1
CYP2E1,enzyme,Immune system disorders,0.391875,0.847156861650437,-3.92644218057628,0.999953514648574
