gene_symbol,probe
PGK1,227068_at
PDE5A,227088_at
CYP2R1,227109_at
POU2F1,227254_at
SLC29A4,227281_at
SLCO3A1,227367_at
NT5E,227486_at
SLC44A1,227620_at
POU2F2,227749_at
SLC4A8,228175_at
SLC44A3,228221_at
POU2F2,228343_at
ASMT,228447_at
AKAP17A,228447_at
SLC44A1,228485_s_at
SLC44A1,228486_at
CHDH,228560_at
SLC12A4,228644_s_at
HNMT,228772_at
SLC13A5,228844_at
SLC4A8,228935_at
ATG9B,229093_at
NOS3,229093_at
SLC14A1,229151_at
SLC51A,229230_at
SLCO4A1,229239_x_at
MAT2B,229284_at
GMPS,229333_at
CHDH,229502_at
ABCB8,229539_at
FOLR2,229619_at
SLC19A1,229639_s_at
PREP,229644_at
POU2F2,229750_at
POU2F1,229753_at
SLCO3A1,229776_at
CHDH,229954_at
SLC16A7,230003_at
PCYT2,230044_at
GUSB,230125_at
SEC14L2,230316_at
CHDH,230484_at
SLC20A1,230494_at
MSRB2,230575_at
AK4,230630_at
ABCC3,230682_x_at
SLC2A5,230705_at
SLC51B,230830_at
LRP2,230863_at
F5,231029_at
SLC47A2,231068_at
SLC28A1,231187_at
SLC22A8,231352_at
UPP2,231376_at
SLC22A7,231398_at
ADH4,231675_s_at
ADH4,231678_s_at
TRPM7,231689_at
ADH4,231703_s_at
CYP3A4,231704_at
ABCG8,231751_at
LNPEP,231866_at
NOS1,231916_at
CHDH,231994_at
SLC2A11,232167_at
GSTT1,232193_at
ARSB,232197_x_at
SLC22A16,232232_s_at
SLC22A16,232233_at
SLC28A3,232277_at
RDH11,232359_at
SCARB1,232421_at
PLD1,232530_at
UGT1A1,232654_s_at
UGT1A6,232654_s_at
UGT1A1,232655_at
SEC14L2,232894_at
SEC14L2,232895_s_at
NADSYN1,232946_s_at
ANXA1,233011_at
UPP2,233155_at
SLX1B,233334_x_at
SULT1A3,233334_x_at
SULT1A4,233334_x_at
SLX1A,233334_x_at
SLC46A1,233531_at
TGM6,233983_at
ACSS2,234312_s_at
TRPM6,234864_s_at
DBH,234916_at
SLC4A5,234976_x_at
MTHFD2,234976_x_at
SLC31A1,235013_at
SLC2A12,235050_at
RDH13,235249_at
GGCX,235413_at
SLC8A1,235518_at
POU2F2,235661_at
PPAT,235833_at
CACNA1E,236013_at
SLC31A1,236217_at
SLC16A10,236220_at
RDH5,236291_at
CEPT1,236327_at
SLC6A5,236508_at
ARSA,236541_at
GMPS,236648_at
LNPEP,236728_at
IDS,236823_at
SLC38A1,236857_at
GALNS,236866_at
SLC11A2,237106_at
TGM7,237288_at
F7,237414_at
SLC5A8,237503_at
TRPM7,237884_x_at
TPMT,238272_at
SLC8A1,238546_at
CACNA1C,238636_at
PTGS1,238669_at
CACNA1E,238747_at
SULT1A1,238995_at
MTHFR,239035_at
NOS1,239132_at
CYP2R1,239181_at
ABCC3,239217_x_at
SLC19A3,239345_at
SLC6A2,239394_at
SLC2A8,239426_at
CYP19A1,239459_s_at
CYP19A1,239460_at
TRPM7,239484_at
SEC14L4,239492_at
SLC22A5,239615_at
UMPS,239800_at
SLC13A2,239805_at
ENTPD5,239933_x_at
BBOF1,239933_x_at
SEC14L2,240024_at
MSRA,240031_at
PDE5A,240088_at
SLC15A2,240159_at
SLC2A9,240223_at
TK2,240300_at
