drugA,drugB,meddra,N,type
21602085,21604344,35909571,10,negativo
21601423,21603921,35809076,14,negativo
21601423,21603911,43053882,73,negativo
21600098,21601518,36416595,12,negativo
21603929,21605271,35708093,18,negativo
21600484,21602730,36315575,10,negativo
21602256,21603911,43562826,71,negativo
21602085,21603925,36313534,11,negativo
21601129,21603929,35708093,60,negativo
21601423,21603909,35205025,51,negativo
21604529,21604559,35809043,19,negativo
21604422,21604574,35809310,30,negativo
21601435,21603929,35708178,13,negativo
21604051,21603641,36516959,14,negativo
21602730,21603929,36718123,29,negativo
21603896,21603916,37219863,10,negativo
21603019,21604571,37622449,18,negativo
21603967,21603968,35708202,21,negativo
21602256,21603929,43053882,75,negativo
21603732,21603749,35809207,14,negativo
21602256,21603911,35809155,53,negativo
21600083,21600497,35104691,11,negativo
21602256,21603911,35809361,25,negativo
21600664,21602735,35809076,14,negativo
21604559,21604574,36776613,13,negativo
21604272,21604571,43053854,21,negativo
21600493,21600571,35708208,14,negativo
21601423,21601435,35104103,52,negativo
21602732,21602737,36313176,10,negativo
21601392,21601431,35104177,25,negativo
21602737,21604434,35204948,10,negativo
21604422,21604440,35809340,13,negativo
21602102,21602737,35707907,20,negativo
21602102,21603929,36313573,16,negativo
21604713,21604757,35809310,11,negativo
21602737,21601390,35708093,27,negativo
21600097,21603925,36617948,20,negativo
21602096,21604857,36718347,11,negativo
21601200,21604643,35809310,10,negativo
21603160,21603173,36818729,14,negativo
21601423,21603929,35707751,44,negativo
21600816,21601129,35808976,12,negativo
21601423,21603929,36718149,17,negativo
21602256,21603911,35707713,45,negativo
21601129,21601518,35104884,12,negativo
21602690,21603356,35809079,10,negativo
21601390,21601394,42890163,18,negativo
21602737,21604131,37622449,17,negativo
21604344,21604348,37320136,23,negativo
21600493,21604857,35104113,10,negativo
21603896,21603925,36416600,12,negativo
21602256,21603909,35809327,149,negativo
21600084,21600493,36416501,11,negativo
21601747,21601789,35809310,15,negativo
21603140,21603925,36009901,18,negativo
21604544,21604655,36718321,10,negativo
21601390,21604399,35809327,10,negativo
21602735,21603968,36416534,30,negativo
21601392,21601399,36009892,19,negativo
21603967,21603980,35809120,12,negativo
21604544,21604562,36718199,29,negativo
21602730,21603929,36110570,11,negativo
21603718,21603929,36110630,25,negativo
21603718,21603929,36617295,23,negativo
21602734,21601423,35104883,47,negativo
21604417,21604544,36919235,12,negativo
21602921,21603719,35104236,12,negativo
21603163,21603173,42889636,19,negativo
21603911,21604718,35808976,12,negativo
21603967,21603980,35809059,52,negativo
21600484,21603967,36516876,10,negativo
21603732,21603929,35809207,74,negativo
21600097,21602737,36718379,10,negativo
21602734,21603925,35506609,23,negativo
21603164,21603173,35809079,10,negativo
21600965,21601003,36211555,21,negativo
