atc_concept_id,atc_concept_name,atc_concept_code,ndrugreports,atc4_concept_name,atc4_concept_code,atc3_concept_name,atc3_concept_code,atc2_concept_name,atc2_concept_code,atc1_concept_name,atc1_concept_code
21601030,fondaparinux; parenteral,B01AX05,52,Other antithrombotic agents,B01AX,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01,BLOOD AND BLOOD FORMING ORGANS,B
21601031,RIVAROXABAN,B01AX06,350,,,,,,,,
21601035,aminocaproic acid; systemic,B02AA01,89,Amino acids,B02AA,ANTIFIBRINOLYTICS,B02A,ANTIHEMORRHAGICS,B02,BLOOD AND BLOOD FORMING ORGANS,B
21601036,tranexamic acid; systemic,B02AA02,188,Amino acids,B02AA,ANTIFIBRINOLYTICS,B02A,ANTIHEMORRHAGICS,B02,BLOOD AND BLOOD FORMING ORGANS,B
21601045,phytomenadione; systemic,B02BA01,531,Vitamin K,B02BA,VITAMIN K AND OTHER HEMOSTATICS,B02B,ANTIHEMORRHAGICS,B02,BLOOD AND BLOOD FORMING ORGANS,B
21601075,romiplostim; parenteral,B02BX04,282,Other systemic hemostatics,B02BX,VITAMIN K AND OTHER HEMOSTATICS,B02B,ANTIHEMORRHAGICS,B02,BLOOD AND BLOOD FORMING ORGANS,B
21601076,eltrombopag; oral,B02BX05,142,Other systemic hemostatics,B02BX,VITAMIN K AND OTHER HEMOSTATICS,B02B,ANTIHEMORRHAGICS,B02,BLOOD AND BLOOD FORMING ORGANS,B
21601093,saccharated iron oxide; oral,B03AB02,25,"Iron trivalent, oral preparations",B03AB,IRON PREPARATIONS,B03A,ANTIANEMIC PREPARATIONS,B03,BLOOD AND BLOOD FORMING ORGANS,B
21601103,SACCHARATED IRON OXIDE,B03AC02,5,,,,,,,,
21601106,FERRIC OXIDE DEXTRAN COMPLEXES,B03AC06,7,,,,,,,,
21601107,FERRIC SODIUM GLUCONATE COMPLEX,B03AC07,19,,,,,,,,
21601121,"cyanocobalamin; nasal, systemic",B03BA01,92,Vitamin B12 (cyanocobalamin and analogues),B03BA,VITAMIN B12 AND FOLIC ACID,B03B,ANTIANEMIC PREPARATIONS,B03,BLOOD AND BLOOD FORMING ORGANS,B
21601129,folic acid; systemic,B03BB01,3388,Folic acid and derivatives,B03BB,VITAMIN B12 AND FOLIC ACID,B03B,ANTIANEMIC PREPARATIONS,B03,BLOOD AND BLOOD FORMING ORGANS,B
21601133,erythropoietin; parenteral,B03XA01,441,Other antianemic preparations,B03XA,OTHER ANTIANEMIC PREPARATIONS,B03X,ANTIANEMIC PREPARATIONS,B03,BLOOD AND BLOOD FORMING ORGANS,B
21601134,darbepoetin alfa; parenteral,B03XA02,311,Other antianemic preparations,B03XA,OTHER ANTIANEMIC PREPARATIONS,B03X,ANTIANEMIC PREPARATIONS,B03,BLOOD AND BLOOD FORMING ORGANS,B
21601135,methoxy polyethylene glycol-epoetin beta; parenteral,B03XA03,42,Other antianemic preparations,B03XA,OTHER ANTIANEMIC PREPARATIONS,B03X,ANTIANEMIC PREPARATIONS,B03,BLOOD AND BLOOD FORMING ORGANS,B
21601139,albumin; parenteral,B05AA01,123,Blood substitutes and plasma protein fractions,B05AA,BLOOD AND RELATED PRODUCTS,B05A,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B
21601142,dextran; parenteral,B05AA05,2,Blood substitutes and plasma protein fractions,B05AA,BLOOD AND RELATED PRODUCTS,B05A,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B
21601144,hydroxyethylstarch; parenteral,B05AA07,4,Blood substitutes and plasma protein fractions,B05AA,BLOOD AND RELATED PRODUCTS,B05A,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B
21601156,fat emulsions; parenteral,B05BA02,17,Solutions for parenteral nutrition,B05BA,I.V. SOLUTIONS,B05B,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B
21601157,carbohydrates; parenteral,B05BA03,296,Solutions for parenteral nutrition,B05BA,I.V. SOLUTIONS,B05B,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B
21601161,electrolytes; parenteral,B05BB01,1614,Solutions affecting the electrolyte balance,B05BB,I.V. SOLUTIONS,B05B,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B
21601188,glycine,B05CX03,9,Other irrigating solutions,B05CX,IRRIGATING SOLUTIONS,B05C,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B
21601200,magnesium sulfate; parenteral,B05XA05,287,Electrolyte solutions,B05XA,I.V. SOLUTION ADDITIVES,B05X,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B
21601202,calcium chloride; parenteral,B05XA07,78,Electrolyte solutions,B05XA,I.V. SOLUTION ADDITIVES,B05X,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B
21601203,sodium acetate; parenteral,B05XA08,19,Electrolyte solutions,B05XA,I.V. SOLUTION ADDITIVES,B05X,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B
21601207,zinc chloride; parenteral,B05XA12,174,Electrolyte solutions,B05XA,I.V. SOLUTION ADDITIVES,B05X,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B
21601209,sodium glycerophosphate; parenteral,B05XA14,11,Electrolyte solutions,B05XA,I.V. SOLUTION ADDITIVES,B05X,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B
21601212,potassium acetate; parenteral,B05XA17,22,Electrolyte solutions,B05XA,I.V. SOLUTION ADDITIVES,B05X,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B
21601229,hyaluronidase,B06AA03,2,Enzymes,B06AA,OTHER HEMATOLOGICAL AGENTS,B06A,OTHER HEMATOLOGICAL AGENTS,B06,BLOOD AND BLOOD FORMING ORGANS,B
21601236,hemin,B06AB01,9,Heme products,B06AB,OTHER HEMATOLOGICAL AGENTS,B06A,OTHER HEMATOLOGICAL AGENTS,B06,BLOOD AND BLOOD FORMING ORGANS,B
21601274,palivizumab; systemic,J06BB16,2643,Specific immunoglobulins,J06BB,IMMUNOGLOBULINS,J06B,IMMUNE SERA AND IMMUNOGLOBULINS,J06,ANTIINFECTIVES FOR SYSTEMIC USE,J
21601390,cyclophosphamide,L01AA01,6417,Nitrogen mustard analogues,L01AA,ALKYLATING AGENTS,L01A,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601391,chlorambucil,L01AA02,21,Nitrogen mustard analogues,L01AA,ALKYLATING AGENTS,L01A,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601392,melphalan,L01AA03,1775,Nitrogen mustard analogues,L01AA,ALKYLATING AGENTS,L01A,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601394,ifosfamide,L01AA06,1758,Nitrogen mustard analogues,L01AA,ALKYLATING AGENTS,L01A,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601399,busulfan,L01AB01,1661,Alkyl sulfonates,L01AB,ALKYLATING AGENTS,L01A,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601407,carmustine,L01AD01,74,Nitrosoureas,L01AD,ALKYLATING AGENTS,L01A,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601408,lomustine,L01AD02,77,Nitrosoureas,L01AD,ALKYLATING AGENTS,L01A,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601419,temozolomide,L01AX03,558,Other alkylating agents,L01AX,ALKYLATING AGENTS,L01A,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601420,dacarbazine,L01AX04,184,Other alkylating agents,L01AX,ALKYLATING AGENTS,L01A,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601423,methotrexate,L01BA01,12320,Folic acid analogues,L01BA,ANTIMETABOLITES,L01B,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601425,pemetrexed,L01BA04,3,Folic acid analogues,L01BA,ANTIMETABOLITES,L01B,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601428,mercaptopurine,L01BB02,1878,Purine analogues,L01BB,ANTIMETABOLITES,L01B,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601429,tioguanine,L01BB03,376,Purine analogues,L01BB,ANTIMETABOLITES,L01B,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601430,cladribine,L01BB04,57,Purine analogues,L01BB,ANTIMETABOLITES,L01B,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601431,fludarabine,L01BB05,1989,Purine analogues,L01BB,ANTIMETABOLITES,L01B,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601432,clofarabine,L01BB06,430,Purine analogues,L01BB,ANTIMETABOLITES,L01B,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601433,nelarabine,L01BB07,168,Purine analogues,L01BB,ANTIMETABOLITES,L01B,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
21601435,cytarabine,L01BC01,4184,Pyrimidine analogues,L01BC,ANTIMETABOLITES,L01B,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L
