drugbank_id,id,type,action,uniprot_id,entrez_id,gene_symbol,atc_concept_id
DB00099,BE0000394,target,other/unknown,P08246,1991,ELANE,21603851
DB00104,BE0001075,enzyme,inhibitor,P05164,4353,MPO,21602716
DB00104,BE0002638,enzyme,inhibitor,P08684,1576,CYP3A4,21602716
DB00105,BE0002433,enzyme,inhibitor,P05177,1544,CYP1A2,21603862
DB00105,BE0000385,target,binder,P48551,3455,IFNAR2,21603862
DB00105,BE0000661,target,binder,P17181,3454,IFNAR1,21603862
DB00106,BE0000203,target,antagonist,P30968,2798,GNRHR,21603846
DB00107,BE0002148,enzyme,substrate,P48147,5550,PREP,21602707
DB00107,BE0010031,enzyme,substrate,Q9UIQ6,4012,LNPEP,21602707
DB00107,BE0000844,target,agonist,P30559,5021,OXTR,21602707
DB00108,BE0000590,target,antibody,P13612,3676,ITGA4,21603904
DB00109,BE0003536,enzyme,substrate,P33261,1557,CYP2C19,21603193
DB00109,BE0003533,enzyme,substrate,P05181,1571,CYP2E1,21603193
DB00111,BE0000658,target,antibody,P01589,3559,IL2RA,21603915
DB00111,BE0000651,target,antibody,P14784,3560,IL2RB,21603915
DB00113,BE0000107,target,other/unknown,P13688,634,CEACAM1,21605543
DB00115,BE0000340,transporter,substrate,Q9BXJ7,81693,AMN,21601114
DB00115,BE0000340,transporter,substrate,Q9BXJ7,81693,AMN,21601121
DB00115,BE0000340,transporter,substrate,Q9BXJ7,81693,AMN,21601126
DB00115,BE0000238,transporter,substrate,P20061,6947,TCN1,21601114
DB00115,BE0000238,transporter,substrate,P20061,6947,TCN1,21601121
DB00115,BE0000238,transporter,substrate,P20061,6947,TCN1,21601126
DB00115,BE0000362,transporter,substrate,P20062,6948,TCN2,21601114
DB00115,BE0000362,transporter,substrate,P20062,6948,TCN2,21601121
DB00115,BE0000362,transporter,substrate,P20062,6948,TCN2,21601126
DB00115,BE0004690,transporter,substrate,P27352,2694,CBLIF,21601114
DB00115,BE0004690,transporter,substrate,P27352,2694,CBLIF,21601121
DB00115,BE0004690,transporter,substrate,P27352,2694,CBLIF,21601126
DB00115,BE0000936,transporter,substrate,O60494,8029,CUBN,21601114
DB00115,BE0000936,transporter,substrate,O60494,8029,CUBN,21601121
DB00115,BE0000936,transporter,substrate,O60494,8029,CUBN,21601126
DB00115,BE0000734,target,cofactor,Q99707,4548,MTR,21601114
DB00115,BE0000734,target,cofactor,Q99707,4548,MTR,21601121
DB00115,BE0000734,target,cofactor,Q99707,4548,MTR,21601126
DB00115,BE0000777,target,cofactor,P22033,4594,MMUT,21601114
DB00115,BE0000777,target,cofactor,P22033,4594,MMUT,21601121
DB00115,BE0000777,target,cofactor,P22033,4594,MMUT,21601126
DB00115,BE0000763,target,cofactor,Q9UBK8,4552,MTRR,21601114
DB00115,BE0000763,target,cofactor,Q9UBK8,4552,MTRR,21601121
DB00115,BE0000763,target,cofactor,Q9UBK8,4552,MTRR,21601126
DB00115,BE0000320,target,binder,Q8IVH4,166785,MMAA,21601114
DB00115,BE0000320,target,binder,Q8IVH4,166785,MMAA,21601121
DB00115,BE0000320,target,binder,Q8IVH4,166785,MMAA,21601126
DB00115,BE0002175,target,cofactor,Q9Y4U1,25974,MMACHC,21601114
DB00115,BE0002175,target,cofactor,Q9Y4U1,25974,MMACHC,21601121
DB00115,BE0002175,target,cofactor,Q9Y4U1,25974,MMACHC,21601126
DB00115,BE0002176,target,cofactor,P42898,4524,MTHFR,21601114
DB00115,BE0002176,target,cofactor,P42898,4524,MTHFR,21601121
DB00115,BE0002176,target,cofactor,P42898,4524,MTHFR,21601126
DB00118,BE0003533,enzyme,inhibitor,P05181,1571,CYP2E1,21600936
DB00118,BE0000300,enzyme,substrate,P19623,6723,SRM,21600936
DB00118,BE0000372,target,cofactor,Q14749,27232,GNMT,21600936
DB00118,BE0000101,target,cofactor,P17707,262,AMD1,21600936
DB00118,BE0000304,target,cofactor,P31153,4144,MAT2A,21600936
DB00118,BE0000323,target,activator,P35520,875,CBS,21600936
DB00118,BE0000323,target,activator,P35520,102724560,CBSL,21600936
