stage,log_lower90,log_ior,permutation
2,-0.296422465906176,-0.0579157503751886,1
3,-0.405969361038085,-0.109062255767888,1
4,-0.54951481757703,-0.161025023821602,1
5,-0.708822634274789,-0.21403197892139,1
6,-0.879842916908389,-0.268189053903873,1
7,-1.06316335800187,-0.323494678170865,1
1,-0.0613932209883048,-7.96548347836712e-05,1
2,-0.0576832099087066,-0.000184703668946629,1
3,-0.0739030955616265,-0.000289870010692361,1
4,-0.099341981361373,-0.00039507909336578,1
5,-0.128177313626005,-0.000499900081931237,1
6,-0.158897608787592,-0.000603898947291626,1
7,-0.191388780844271,-0.000707168570507122,1
1,-0.299961730524148,0.0767913346347351,1
2,-0.272951122230548,-0.00682627379774603,1
3,-0.306676475023028,-0.0920396529714731,1
4,-0.430747714931041,-0.178851287775947,1
5,-0.617000864873622,-0.266657053476341,1
6,-0.832722492616418,-0.354916586157715,1
7,-1.06815801367656,-0.443726636285243,1
1,-6.8182017153743,-0.00403498455596907,1
2,-23.939481694401,0.0141856332296539,1
3,-54.8085054580861,0.0324776193434913,1
4,-85.8937497131839,0.0508976852126413,1
5,-117.160087885593,0.0694250530747933,1
6,-148.388895871395,0.087930178287027,1
7,-179.677471621474,0.106470716683402,1
1,-0.709265618651888,-0.145704458759759,1
2,-0.699543014676855,-0.266365239573541,1
3,-0.736351979207381,-0.386222832939541,1
4,-0.831230405200333,-0.5110892179978,1
5,-0.984953417564033,-0.641915554136205,1
6,-1.19793620705029,-0.778379623650722,1
7,-1.46403839726352,-0.917204611202231,1
1,-1.7071683625159,-0.275089860411316,1
2,-1.17531692248701,-0.0562448188534246,1
3,-0.926694386829395,0.169075683360313,1
4,-0.94806993352949,0.407387431435294,1
5,-1.1354283208286,0.657368600348145,1
6,-1.4116823304783,0.901043572039609,1
7,-1.73761654140238,1.13106481935185,1
1,-0.018692368745913,-4.13513162329515e-05,1
2,-0.0601692555306818,-0.000464014594373285,1
3,-0.112808593002339,-0.000888560659610516,1
4,-0.166832854220857,-0.00131785899634806,1
5,-0.221309573923862,-0.0017492462726838,1
6,-0.275807934177559,-0.00218002012135088,1
7,-0.330681457587828,-0.00261309487300387,1
1,-0.672844960801441,0.461681385785588,1
2,-0.550687712611232,0.443748813121216,1
3,-0.812930682314219,0.380653615905512,1
4,-1.2895816936414,0.236168541711873,1
5,-1.92917340266289,-0.00985080642963432,1
6,-2.65052127251649,-0.264982127686708,1
7,-3.36291178766621,-0.470130510089039,1
1,-0.0041520254780674,-4.59786464279688e-06,1
2,-0.00378817072215954,-8.01630742497395e-06,1
3,-0.00472418835004998,-1.12950527650924e-05,1
