triplet_id,type,max_ior,mean_ior,n_stages_significant
1800,negative,2369.88434636575,1238.80428097526,3
1801,negative,6.01331029096612,2.61585684591982,0
1802,negative,8860.3952277405,1359.25469820066,6
1803,negative,1.00007527681114,1.00003250648672,0
1804,negative,0.91946601369244,0.401037819485603,0
1805,negative,1.00006805428231,0.999706789792448,0
1806,negative,12.0160957880935,4.71337879510345,4
1807,negative,1.00004367848327,1.00001262412255,0
1808,negative,1.08629965954895,0.705486657329569,0
1809,negative,4.89268297362272,2.61861542303836,3
1810,negative,2.10111887403668,0.534617764268519,1
1811,negative,1.00000094403551,0.99999532570969,0
1812,negative,1.00052716497526,1.00027245085304,0
1813,negative,13.5668183472258,4.34743204692947,0
1814,negative,2.50391105998984,1.76983923570714,2
1815,negative,1.61156367804671,1.28022374180437,0
1816,negative,2.34068338048465,0.884561458247065,0
1817,negative,1.7573334451512,0.631825992694638,1
