triplet_id,drugA,drugB,meddra,type,N,dynamic,fold_change,model_success,injection_success,n_injected,n_coadmin,n_events,n_stages_significant,max_ior,mean_ior,model_aic,stage,log_ior,log_ior_lower90,ior_values,classic_success,log_ior_classic,log_ior_classic_lower90,ior_classic,spline_individuales,nichd_spline,include_sex,include_stage_sex,k_spline,bs_type,select,formula_used
704,21603285,21603497,35708208,positive,11638,plateau,2.66665362436932,TRUE,TRUE,40,159,11638,6,20.8325852564035,14.2898397511754,94844.3323176143,"1,2,3,4,5,6,7","2.72380198207739,2.90826216990848,3.02680039686607,3.03651835973692,2.77740643190116,1.91534813780859,0.758716494224768","0.692808047002615,1.80679643667472,2.32465556384175,2.5143924171013,2.30641760021736,1.22216596988587,-0.743166083574209","15.2381474135299,18.3249252732902,20.6311154897784,20.8325852564035,16.0772693357409,6.78930199833512,2.13553349114978",TRUE,"NaN,2.39702086236933,2.83632073497837,3.23108313668054,2.92005854012337,2.30584961005005,-Inf","NaN,0.841395634712165,1.24704489680151,2.20227360241746,2.28579163495905,1.25059496287057,-Inf","NaN,10.9903856893199,17.0529078057216,25.3070531289129,18.5423729007728,10.0326985139491,0",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
705,21600484,21603748,36718229,positive,368,inverse_plateau,2.79920701676966,TRUE,TRUE,5,38,368,4,1051.03050489937,335.108632370281,5391.74708843877,"1,2,3,4,5,6,7","0.280629592518084,1.9843168215119,3.65792952826745,5.23767255054833,6.52702563572658,6.95752639509834,5.92894214784037","-7.88882874735128,-3.66973653071847,-0.125669355264281,2.81097811276639,5.15699323065581,6.23542825964361,4.87198828374014","1.32396310725834,7.27407619516433,38.7809647984065,188.231492898001,683.362616339944,1051.03050489937,375.756808353819",TRUE,"NaN,NaN,NaN,NaN,NaN,Inf,Inf","NaN,NaN,NaN,NaN,NaN,NaN,NaN","NaN,NaN,NaN,NaN,NaN,Inf,Inf",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
706,21603908,21603921,36516786,positive,93,uniform,1.41925839272638,TRUE,TRUE,7,170,93,6,175978.856241901,29263.8472858942,1272.02393537401,"1,2,3,4,5,6,7","12.0781191318143,10.0886349256185,8.16730779117773,6.9523110297298,5.1637174849988,3.5678218404438,3.02039079966868","7.21677353550264,7.56554823212486,6.25968527660942,4.91851045177268,2.72807565858697,0.693953506416349,-0.890388569510927","175978.856241901,24067.9155040986,3523.84425716633,1045.56326601942,174.813114298606,35.4393165358038,20.4993012391578",TRUE,"NaN,Inf,NaN,Inf,Inf,2.23597730907336,Inf","NaN,NaN,NaN,NaN,NaN,0.25075740696809,NaN","NaN,Inf,NaN,Inf,Inf,9.35562071873601,Inf",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
707,21600819,21601133,35205038,positive,5768,increase,2.02893212307852,TRUE,TRUE,32,113,5768,5,14.5140025950402,5.97269260632652,55143.74097812,"1,2,3,4,5,6,7","0.0910735247864638,0.585934735176838,1.07127657721209,1.52090258759052,1.92965260655714,2.30460821893207,2.67511387965159","-1.07365422919452,-0.29397492982601,0.314909268397157,0.786604737723807,1.16646872164078,1.43736210877868,1.56889980449451","1.09534953763872,1.79666961126927,2.91910358354561,4.57635389183929,6.88711728657133,10.0202517383812,14.5140025950402",TRUE,"NaN,NaN,Inf,Inf,0.768148365388527,3.24819045094527,1.86821134324117","NaN,NaN,NaN,NaN,-0.577977811804462,1.77382390514135,0.0885283754244579","NaN,NaN,Inf,Inf,2.15577085598668,25.7437132313355,6.47670143687409",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
708,21600096,21602085,35909437,positive,44,decrease,5.94968528339329,TRUE,TRUE,5,97,44,0,383.641748837928,117.555394416278,349.545936746734,"1,2,3,4,5,6,7","5.94970917138843,5.5389808975467,4.89316782562365,3.65487458727863,2.24031362460058,0.940417274848691,-0.183913003952526","-1.64830633937829,-0.837536167018309,-0.683817129693869,-0.608893574649581,-0.929806948279222,-1.5495895482566,-2.53369230950524","383.641748837928,254.418588690032,133.375415597379,38.662672020185,9.39627772923007,2.56104985708907,0.832008182101623",TRUE,"NaN,NaN,NaN,NaN,NaN,NaN,-0.223455187807642","NaN,NaN,NaN,NaN,NaN,NaN,-2.42550101578538","NaN,NaN,NaN,NaN,NaN,NaN,0.799750729648141",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
709,21604418,21604571,36919230,positive,2070,plateau,1.40702644859751,TRUE,TRUE,3,92,2070,6,88296.2057066374,17999.3895890291,22224.0955155919,"1,2,3,4,5,6,7","11.388452415189,10.3545517452028,8.62674316328914,6.54856733658074,2.93750479571735,-0.42369964392599,1.17391816239368","3.73693439719405,6.11376224046231,5.75228488818832,4.18826417407247,0.874950207495306,-1.98552549434889,0.428138493198842","88296.2057066374,31399.6412038722,5578.87913474915,698.243109532247,18.8687062480298,0.654620471618746,3.23464169326042",TRUE,"NaN,NaN,NaN,Inf,Inf,-Inf,1.1412671119269","NaN,NaN,NaN,NaN,NaN,-Inf,0.356964050965955","NaN,NaN,NaN,Inf,Inf,0,3.13073284186174",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
710,21602735,21603392,42889536,positive,596,inverse_plateau,1.39918424899298,TRUE,TRUE,31,129,596,0,2.0412800308629,1.4579672841538,4836.1466104641,"1,2,3,4,5,6,7","-0.0146447138434471,0.105056979009282,0.225129642025045,0.345904164909873,0.467777062620254,0.591148427174359,0.713577077190839","-0.458677877173434,-0.262648320066925,-0.149331878606045,-0.0945676516703385,-0.0695379672447933,-0.0652347126199203,-0.0820404190431262","0.985461998419702,1.11077389934894,1.25248508036918,1.413267168741,1.59644145653644,1.80606135479847,2.0412800308629",TRUE,"NaN,NaN,NaN,Inf,0.394677857365504,0.465311828601719,1.22372213920499","NaN,NaN,NaN,NaN,-1.64367398094229,-0.313830800635041,-0.14879658058225","NaN,NaN,NaN,Inf,1.48390608450041,1.59251070185499,3.39981881060982",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
711,21603756,21603896,37019321,positive,965,uniform,2.72107081730526,TRUE,TRUE,66,458,965,0,1.00012273629132,1.00007135364639,11901.2430802896,"1,2,3,4,5,6,7","2.34740864000216e-05,3.88660501640103e-05,5.43112129651746e-05,6.98916844665831e-05,8.63063427178901e-05,0.000103875788761698,0.000122728759841984","-0.00744029451301976,-0.00695879129293811,-0.00875315708027829,-0.011642252635609,-0.0149730592165716,-0.0185718084040555,-0.0224238373314966","1.00002347436192,1.00003886680546,1.00005431268785,1.00006989412695,1.00008631006722,1.00010388118404,1.00012273629132",TRUE,"Inf,Inf,1.33689193034559,0.115215467947235,-0.177160676162653,-0.325362406423297,Inf","NaN,NaN,-0.781202526812833,-1.08058036506655,-1.09343588875179,-1.02044960653754,NaN","Inf,Inf,3.80719207920792,1.12211519138275,0.837645184095898,0.722265552530172,Inf",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
712,21600535,21600816,35205038,positive,5770,increase,4.23344367477382,TRUE,TRUE,34,73,5770,5,88.8499347816845,27.4218717776802,55114.3634483795,"1,2,3,4,5,6,7","-0.0517765977399822,0.840140886511229,1.7240746586975,2.56615202132855,3.32445227277815,3.9783758078468,4.4869488205732","-2.06653477896751,-0.636176328460458,0.559948052613508,1.55871513454154,2.42518282512903,3.12162096696503,3.43028002227678","0.94954097274883,2.31669334463305,5.60732993431111,13.0156440356438,27.7837765435326,53.4301828312075,88.8499347816844",TRUE,"NaN,-Inf,-Inf,Inf,2.30472103540036,3.85546566481263,5.1529103512787","NaN,-Inf,-Inf,NaN,0.46078488632745,3.03268178704917,3.30585521425029","NaN,0,0,Inf,10.0213822515628,47.2506147677429,172.934057493965",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
713,21604543,21604740,42889647,positive,4214,decrease,4.28924066059872,TRUE,TRUE,2,68,4214,3,3.0658205778722,1.79762692300454,42589.5719115609,"1,2,3,4,5,6,7","-0.02542997179635,0.141170416830574,0.309828621751191,0.486557641711262,0.677780452911409,0.888572728026223,1.12031525879995","-0.70553849702868,-0.405909262074632,-0.179810650929882,-0.00314935182218073,0.145855300216455,0.259585429625224,0.311975542691855","0.974890646416113,1.15162088684463,1.36319147274483,1.62670686293325,1.96950147610651,2.43165653811422,3.0658205778722",TRUE,"NaN,Inf,NaN,-Inf,1.51723464834751,-Inf,1.7525971209487","NaN,NaN,NaN,-Inf,-0.921125434127211,-Inf,0.927936758313727","NaN,Inf,NaN,0,4.5595988508306,0,5.76956749948376",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
714,21603927,21604344,35708208,positive,11616,plateau,3.07358173766457,TRUE,TRUE,18,81,11616,4,25.1687170889133,10.0313489391507,94414.7870662124,"1,2,3,4,5,6,7","0.658162140424594,1.81176733168671,2.8260210370356,3.22560183799972,2.67431869089066,1.4175515482129,0.399172728863157","-3.29006289261302,-0.351014789604458,1.52233641389776,2.04499298562761,1.85388746792539,0.858965630620689,-0.494038579981914","1.9312397233839,6.12125616809487,16.8781694272749,25.1687170889133,14.502465810869,4.12700329104632,1.4905910644726",TRUE,"NaN,-Inf,Inf,4.02277065090153,3.34805092408052,1.23669922423356,0.252851871068059","NaN,-Inf,NaN,2.02658722652376,2.19661785342564,0.514566113224143,-0.701916653231483","NaN,0,Inf,55.8556481384062,28.4472337562998,3.44422606354791,1.28769251818915",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
715,21603160,21603175,37622529,positive,2309,inverse_plateau,1.27494307421148,TRUE,TRUE,7,94,2309,6,206.939751991164,101.120864254966,26248.259969185,"1,2,3,4,5,6,7","5.33242769771839,4.46814810377181,3.99031305186695,4.4900852746561,5.31787420002456,3.80928421166183,3.06536766641568","2.40594992753262,1.87476004805339,1.03011061700889,1.91099183766903,2.55846435539425,0.623734293808113,-1.23491740998747","206.939751991164,87.1950971309584,54.0718139963652,89.1290460033518,203.949864222574,45.1181322724361,21.4423441679102",TRUE,"Inf,Inf,NaN,NaN,Inf,Inf,Inf","NaN,NaN,NaN,NaN,NaN,NaN,NaN","Inf,Inf,NaN,NaN,Inf,Inf,Inf",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
716,21602653,45893474,35708202,positive,8977,uniform,2.13427075176896,TRUE,TRUE,8,23,8977,4,9.02701492558586,3.68189403690668,75411.3666861406,"1,2,3,4,5,6,7","-0.0554471614763932,0.290532470609141,0.639505162129687,0.998342024141145,1.37451480795755,1.77504767545746,2.20022173975277","-1.35990373784319,-0.761481842536336,-0.296120796962149,0.0787164408136508,0.40310577835213,0.669133612968056,0.833055331040519","0.946062010869693,1.33713928587299,1.89554266089769,2.7137787168666,3.95315821662697,5.90056244162695,9.02701492558586",TRUE,"NaN,NaN,NaN,NaN,NaN,0.672795406996747,3.93673434418913","NaN,NaN,NaN,NaN,NaN,-0.811318984770484,1.90128280910956","NaN,NaN,NaN,NaN,NaN,1.95970785193372,51.2509597252299",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
717,21603896,21603927,35708208,positive,11660,increase,2.05658717572055,TRUE,TRUE,62,217,11660,5,25.4465136457866,9.53120911729228,94913.852467218,"1,2,3,4,5,6,7","0.0701340835154634,0.660927416767799,1.24946199571821,1.83773517083983,2.39287493946084,2.86488507374925,3.23657874523503","-1.16292016029726,-0.192396385848573,0.657082370074464,1.40539903647947,2.04495835025068,2.54715303737874,2.76456500013709","1.07265199656294,1.93658752557169,3.48846564305268,6.28229381427299,10.9449147222116,17.5470364735875,25.4465136457866",TRUE,"NaN,Inf,NaN,2.80634255172009,2.1123715597098,3.17280487197767,2.91532296718221","NaN,NaN,NaN,1.49616196805178,1.44133647464428,2.67580437405539,2.17642593469595","NaN,Inf,NaN,16.5492792614899,8.26782569495421,23.8743550401714,18.4547717259848",TRUE,TRUE,TRUE,FALSE,7,cs,FALSE,"ea_ocurrio ~ s(nichd_num, k = 7, bs = 'cs', by = droga_a) + s(nichd_num, k = 7, bs = 'cs', by = droga_b) + s(nichd_num, k = 7, bs = 'cs') + s(nichd_num, k = 7, bs = 'cs', by = droga_ab) + sex"
