triplet_id,drugA,drugB,meddra,type,N,model_success,n_coadmin,n_events,n_stages_significant,max_ior,mean_ior,model_aic,stage,log_ior,log_ior_lower90,ior_values,classic_success,log_ior_classic,log_ior_classic_lower90,ior_classic
761,21603967,21603980,37219897,negative,32,TRUE,5924,1354,0,1.00001378618247,1.00000763875896,16192.6736283806,"1,2,3,4,5,6,7","-8.40629104104096e-08,2.84899409308537e-06,5.7615456894311e-06,8.37663593777904e-06,1.05207437375299e-05,1.22610874226936e-05,1.37860874449558e-05","-0.00238790448854247,-0.00218259607486064,-0.00283067097842642,-0.00384400086709363,-0.00495631869530345,-0.00611484141781864,-0.00733254124663763","0.999999915937093,1.00000284899815,1.00000576156229,1.00000837667102,1.00001052079908,1.00001226116259,1.00001378618247",TRUE,||||||,||||||,||||||
762,21602338,21603927,36110649,negative,14,TRUE,244,857,6,18.8242478102417,7.6589474851711,11375.2846892102,"1,2,3,4,5,6,7","2.93514581592839,2.60640476467238,2.15075637434053,1.60519244246801,1.20261601758793,0.930429487639341,0.589759241793908","0.857634785450554,1.11440532986098,1.08573242633527,0.780282141406766,0.419180605764757,0.0609456471620003,-0.768836586429968","18.8242478102417,13.5502468472958,8.59135422011384,4.97881764650825,3.32881377760328,2.53559795177222,1.80355414266262",TRUE,|Inf|Inf|-Inf|Inf|1.06570037003497|,|||-Inf||-7.79262803258796e-05|,|Inf|Inf|0|Inf|2.90287135638361|
763,21603917,21604677,43053854,negative,19,TRUE,19,959,2,430579075.760461,67182457.1475053,12435.714960759,"1,2,3,4,5,6,7","3.79161646806939,6.79350421740714,9.69077692371904,12.3766400639162,14.923016480079,17.4105469345397,19.8806415484962","-10.2889805812502,-1.17119186687962,3.89327101669737,2.33423528152636,-1.23721672818762,-5.39491994950034,-10.0420681035198","44.3279971853643,892.033972312709,16167.8005630581,237195.521186937,3026799.89792561,36417024.690431,430579075.760461",TRUE,||Inf||||,||||||,||Inf||||
764,21603718,21604348,37219863,negative,12,TRUE,94,921,4,4.88012495682975,2.58650290652854,12060.1348638682,"1,2,3,4,5,6,7","-0.00444200297912722,0.276409957733465,0.556685766593815,0.834262000374588,1.10203487662998,1.34889365777899,1.58517082544497","-0.910189652800693,-0.432882658712057,-0.0538235709323303,0.242111797082543,0.474588908180045,0.638857350691133,0.712817633847842","0.995567848124498,1.3183882367081,1.74487996721781,2.30311372387929,3.01028535511158,3.85316025782873,4.88012495682975",TRUE,||-Inf|-Inf|1.83748746500295|1.1214353526136|1.92798140602549,||-Inf|-Inf|0.770197038351365|0.0700349575913313|0.288556374094316,||0|0|6.28073784614536|3.06925650845828|6.87561714469868
765,21601399,21603618,35104341,negative,11,TRUE,14,175,0,1.0001058454035,1.00005019982256,2659.77255676565,"1,2,3,4,5,6,7","-3.97913673921835e-06,1.37125022163787e-05,3.15146980165437e-05,4.95621918146227e-05,6.79689953573259e-05,8.67662027550509e-05,0.000105839802265528","-0.00717505439829171,-0.00821257356950355,-0.0145645863811085,-0.0220270221523827,-0.0298601294061023,-0.037946604362789,-0.0462310001646526","0.999996020871178,1.00001371259623,1.00003151519461,1.00004956342004,1.0000679713053,1.00008676996705,1.0001058454035",TRUE,||||||-0.810879363156235,||||||-2.97399572787119,||||||0.44446704637917
766,21601390,21603749,35104877,negative,41,TRUE,431,1961,0,0.123612242865202,0.0770219688556277,19935.3203975418,"1,2,3,4,5,6,7","-2.89904500939208,-2.52408276566772,-2.1715485852439,-2.09060568655645,-2.35753044178595,-3.02810597003249,-3.7604998490347","-4.49033750991659,-3.41831188956011,-2.74176467183113,-2.59366016467743,-2.84190034718755,-3.58979306874487,-4.81780965635656","0.0550757918135503,0.0801317787073744,0.114000939973062,0.123612242865202,0.0946536875923751,0.0484072361098585,0.0232721049279722",TRUE,-3.23802464370696|-3.28860559363622|-1.02736832556459|-2.26099521234972|-2.00342527967427|-3.44633680390334|-3.77363591809102,-6.2761550642197|-4.55184603201913|-2.28034694492646|-2.99587594360252|-2.70881651833659|-4.33329813177723|-5.15415125057797,0.039241334205363|0.0373058326353461|0.357947724009134|0.104246685523344|0.134872515049417|0.0318621401270932|0.0229684000617699
767,21602734,21603921,35104236,negative,21,TRUE,143,677,0,0.794244520170135,0.506837410105479,8743.85555928828,"1,2,3,4,5,6,7","-0.230363905232912,-0.43459210766675,-0.630261010935577,-0.800749498742593,-0.926695927491581,-0.99665799205001,-1.02255989546564","-1.35827835717748,-1.41301443420534,-1.52890328426846,-1.61199988313623,-1.58951901097094,-1.58963826892478,-1.9720490115793","0.794244520170135,0.647528735225345,0.532452806862921,0.448992318796987,0.395859500463776,0.369110953904916,0.35967303531427",TRUE,|Inf|-0.671314734027953|-1.24804543928184|-1.74477319256727|-1.27934022916856|0.58833511716136,||-2.98018488142185|-2.44662216390392|-2.61376187677135|-2.45840840543127|-0.965654597711981,|Inf|0.51103625916386|0.287065335506656|0.174684604240747|0.278220801881874|1.80098748483603
768,21602735,21603980,36211303,negative,11,TRUE,177,1588,0,1.27504743633719,1.12706330711385,17202.8801310238,"1,2,3,4,5,6,7","-0.00827515526422307,0.0325053816768914,0.0735065572937827,0.114987120284582,0.157138059988833,0.199920396643808,0.242983382888645","-0.214445906263905,-0.161768798039519,-0.200562406859799,-0.274486876200634,-0.359689993422733,-0.450810978388152,-0.546883666519977","0.991758989583548,1.03303945261356,1.07627559410401,1.12185898825438,1.1701571546332,1.22130553427108,1.27504743633719",TRUE,|||||0.309781020605268|0.479967636389354,|||||-0.650134486297659|-0.309206428810699,|||||1.363126584813|1.6160221010365
769,21602256,21603929,36110597,negative,20,TRUE,1644,3729,0,1.00023378466474,1.00010759788809,38285.4286070268,"1,2,3,4,5,6,7","-1.32709343789728e-05,2.57409865076497e-05,6.51188942510927e-05,0.000105312260846979,0.000146753726014026,0.000189708768792762,0.000233757341367102","-0.005847911428014,-0.0060547807146103,-0.0108739885816124,-0.016720787723627,-0.0229344148863718,-0.029433945426586,-0.0361522276535194","0.999986729153679,1.00002574131781,1.00006512101453,1.00010531780638,1.00014676449487,1.00018972676464,1.00023378466474",TRUE,|-Inf||1.21123681518242|-0.353256259741642|-0.00693182982908698|0.476194201617263,|-Inf||-1.15122702025663|-1.69799389470565|-0.684643974743421|-0.239937992799434,|0||3.3576348592716|0.702397174194003|0.993092139886661|1.60993563770616
770,21600604,21601911,37522220,negative,26,TRUE,701,16798,0,0.999453119919401,0.990501087868022,122831.312484631,"1,2,3,4,5,6,7","-0.00054702967405218,-0.00372559648522586,-0.00687268551545817,-0.00986902480056484,-0.0126654478867412,-0.0153070584132724,-0.0179411358379258","-0.0879084552235257,-0.376456605543399,-0.68936615661336,-0.989142914708612,-1.26955069880709,-1.53486243677869,-1.7996839057532","0.999453119919401,0.996281334938791,0.993150877376622,0.990179514215871,0.987414421349537,0.984809499129815,0.982218848146115",TRUE,||||||,||||||,||||||
771,21600493,21600575,35104883,negative,18,TRUE,425,2387,4,9.75516758254849,6.04077440942235,26962.8605878426,"1,2,3,4,5,6,7","0.275030451540713,0.874719121562048,1.45460134513602,1.96160584604191,2.27779715307139,2.27047713397217,2.04613656311472","-2.17186536537592,-0.795227447003438,0.218781195284315,0.798437940262943,1.18572679461367,1.29637470624315,-0.0165686741157005","1.31657076586548,2.3982015962397,4.28277577584094,7.11073664999092,9.75516758254849,9.6840202869976,7.73794820847334",TRUE,|-Inf||2.42426444416828|Inf|1.54374613281255|-Inf,|-Inf||0.294425279513639||0.383081935720366|-Inf,|0||11.2939190552618|Inf|4.68209721685792|0
772,21602823,21603967,35909443,negative,24,TRUE,249,1123,0,1.01496294217098,0.874622891179184,11624.0780373512,"1,2,3,4,5,6,7","0.0148521016508667,-0.0349955773007906,-0.0852752332016919,-0.136551671496004,-0.189389577342267,-0.244164377160862,-0.300640454491706","-0.211515582371306,-0.225426172209144,-0.312321402226624,-0.442745108810688,-0.593394265341308,-0.75878790386418,-0.938106858298283","1.01496294217098,0.965609686849321,0.918259514111612,0.872361242884548,0.827464082636123,0.783358857374251,0.740343912227447",TRUE,|||||-0.168952582134503|-0.985595263074011,|||||-0.782526932629822|-1.75242528413387,|||||0.844548949145061|0.373216998503231
773,21604425,21604433,36776613,negative,64,TRUE,404,4277,0,0.221312832354952,0.211048651884587,41732.9421220586,"1,2,3,4,5,6,7","-1.61151447040891,-1.5751025147121,-1.53987689858952,-1.50817804736609,-1.5104151048856,-1.5635017803477,-1.58557988460134","-2.41212696922484,-2.02909987207993,-1.91086418342554,-1.88922421274252,-1.91719683086967,-2.07646450923262,-2.38531180609004","0.199585119316018,0.206986332449199,0.214407493667372,0.221312832354952,0.220818296178344,0.209401507726889,0.204828981499334",TRUE,-Inf|-1.93261592268763|-0.560290174748947|-1.7070077477384|-1.17428655905487|-2.73228031024293|-0.956536069993107,-Inf|-2.48539182340344|-1.53892647414209|-2.4176811300255|-1.82208340921542|-3.98165856630391|-2.09662068335934,0|0.144768998213678|0.571043337448088|0.18140779919993|0.309039382405574|0.0650707388891616|0.384221499916635
774,21602256,21603968,35506459,negative,28,TRUE,242,295,6,999.441873780279,178.258168881313,4231.76146725374,"1,2,3,4,5,6,7","6.907196996952,5.13402226087313,3.05516776295182,2.01730799204266,2.56631104529983,3.30254429775824,2.27467541770807","1.84322355428246,2.13862568200542,1.47209402420337,0.950693660094508,1.3903683134695,1.96875350322223,-0.0588942891345208","999.441873780279,169.698318049347,21.2247459542828,7.51805899323073,13.0177139996297,27.1817093777279,9.72476201469159",TRUE,|Inf||Inf|Inf|2.85665920255039|,|||||1.5900801007857|,|Inf||Inf|Inf|17.4032888469206|
775,21603448,21604344,35708208,negative,148,TRUE,1469,11598,0,1.07347432076771,0.824803287799621,94349.2243881336,"1,2,3,4,5,6,7","0.0709004170144532,-0.0222200315967389,-0.11650021836273,-0.211226738060844,-0.305335792950779,-0.396963019644319,-0.488952411570944","-0.232590255922725,-0.247180704761229,-0.29485658994533,-0.382865387235529,-0.506506516089898,-0.653098645183354,-0.824282131828783","1.07347432076771,0.978025014968775,0.890029902627297,0.809590481093359,0.736875895111877,0.672358889243792,0.613268510784534",TRUE,|0.944526916268349|0.229185006841111|-0.373154686667944|-0.653218555079823|-0.321889969438854|-0.647864883401776,|-0.0815064215221997|-0.563704202212961|-0.911517914284319|-1.09863406695389|-0.672137983368006|-1.25592268282478,|2.57159651029733|1.25757467740786|0.688558713752512|0.520368244737073|0.724777933665468|0.52316159614236
776,21601399,21603851,35104341,negative,11,TRUE,57,175,0,0.995678298116637,0.776275297556274,2642.67869560975,"1,2,3,4,5,6,7","-0.00433106743008871,-0.0922495350019217,-0.180211204586491,-0.268427672498463,-0.356892872504252,-0.445441364735867,-0.533910536763385","-0.429159697807526,-0.520293489071642,-0.746570627928418,-1.0268361343992,-1.32408783534599,-1.62882664874864,-1.94153389045273","0.995678298116637,0.911877575779837,0.835093817139958,0.764580721023312,0.69984746662543,0.640541501203,0.586307703005746",TRUE,|||-Inf|-Inf||-1.46794750108081,|||-Inf|-Inf||-2.96359655486798,|||0|0||0.230397891637584
777,21602102,21604348,35104691,negative,10,TRUE,229,1944,3,3.89719054444374,2.99291783078784,22878.4288868201,"1,2,3,4,5,6,7","1.23722345079346,1.31721823209338,1.36025592032258,1.35675506597991,1.18141908852708,0.607091816964676,-0.10922779487871","-0.870621734443411,-0.169530170181675,0.192144180769817,0.243613248238762,0.15084773073104,-0.331764209434248,-2.40094261015295","3.44603209167133,3.73302251812468,3.89719054444374,3.88357090210418,3.25899572638373,1.83508686262152,0.896526170165677",TRUE,|1.0516266660989|-Inf|-Inf|1.39094152789109|-0.562869480869174|-Inf,|-1.09770024258509|-Inf|-Inf|0.450057732382677|-2.33897614410611|-Inf,|2.86230334504353|0|0|4.01863192638788|0.569572339765079|0
778,21603462,21603718,36313594,negative,11,TRUE,18,649,3,164.453303467346,34.0521242382803,8980.84525275025,"1,2,3,4,5,6,7","-0.713806599584989,0.0885882684808843,0.913384165434159,1.79320552561344,2.76651105585629,3.86963061707423,5.10262666040744","-4.45449078091995,-3.01473810052572,-1.74442923754799,-0.470020711476706,0.907252914767429,2.04895942132775,2.27712899650416","0.489776262359002,1.09263069320554,2.49274413383676,6.00868261457443,15.9030522443432,47.9246802522971,164.453303467346",TRUE,||||||3.42285921420153,||||||1.52145894247609,||||||30.6569445998881
779,21601431,21601435,36009895,negative,11,TRUE,340,526,0,0.972396018643087,0.39099154291915,6878.84792657747,"1,2,3,4,5,6,7","-0.0279921309098352,-0.430973225273534,-0.834046893899536,-1.23915659862181,-1.65997277431368,-2.09908045487681,-2.55055125464767","-1.16530757741008,-1.29300759495458,-1.53509436798766,-1.87010587784043,-2.30095329639663,-2.86011279674863,-3.56928765514135","0.972396018643087,0.649876310802266,0.434288206978932,0.28962838793947,0.19014415683622,0.122569084252585,0.0780386349814865",TRUE,|-1.45965769302618|-Inf|0.243008069551375|-0.967328138279374|-2.3247804724673|-3.72062274616428,|-3.91993528672195|-Inf|-1.86850039770239|-2.54163335884326|-3.39958780679637|-5.35727411886216,|0.232315784433759|0|1.27507891339174|0.380097249875293|0.0978049125659403|0.024218880933316
780,21602256,21603911,36516848,negative,63,TRUE,12078,1410,0,1.00278041977185,0.953377379145054,17312.5755296976,"1,2,3,4,5,6,7","0.00277656155478123,-0.0142337901454743,-0.0313047792258958,-0.0484113558959605,-0.0654868554800414,-0.0824357703439595,-0.0991682504891038","-1.91373066130677,-9.8276137621914,-21.6136185296113,-33.4243404266094,-45.2136338194305,-56.9155428488047,-68.4680325168619","1.00278041977185,0.985867031321414,0.96918014208424,0.95274179050513,0.936611357985404,0.920870583158157,0.905590329189187",TRUE,||||||,||||||,||||||
781,21602737,21603082,37219907,negative,10,TRUE,73,3867,5,13.8823376332645,8.59882164396874,39840.7683572225,"1,2,3,4,5,6,7","2.63061735828021,2.51934805106317,2.36347527129058,2.16858601857809,1.91317937506973,1.59964094305244,1.02580459134392","-0.544824190113391,0.323525847921515,0.898888410964332,1.15932962633869,1.09699332077561,0.739995657701682,-0.342885319791087","13.8823376332645,12.4204964939319,10.627821912273,8.7459087411032,6.77459356845074,4.95125432293062,2.78933883582723",TRUE,|Inf|-Inf|4.29320828857884|-Inf|2.40163452280718|-Inf,||-Inf|2.20105118766287|-Inf|1.40970970389008|-Inf,|Inf|0|73.2009419152276|0|11.0412087469856|0
782,21604559,21604762,35708202,negative,10,TRUE,273,8969,0,1.00025604072561,1.00017015667041,75381.5150571768,"1,2,3,4,5,6,7","6.24095761176946e-05,0.000104230352034662,0.000144202165983209,0.000179848878527622,0.000209826314205408,0.000234455227413832,0.000256007952776027","-0.0133495283136835,-0.012691133392781,-0.0160108613008369,-0.0211199742206385,-0.0268498423937989,-0.0329215288504522,-0.0393687271069593","1.00006241152364,1.00010423578421,1.00014421256362,1.00017986505231,1.00020984832929,1.00023448271419,1.00025604072561",TRUE,|||2.19738653377029|0.433570382565722|0.441549305017065|-Inf,|||0.0778867769801064|-0.395762877512692|-0.559767984909384|-Inf,|||9.00145772594752|1.54275593087724|1.55511470007508|0
783,21600484,21602730,36516876,negative,11,TRUE,124,943,0,1.00084438918387,1.00041043223839,12342.3237448459,"1,2,3,4,5,6,7","-2.38514819015379e-05,0.00011993055278392,0.000264269896783631,0.000409712672318818,0.000556213497644897,0.000701833946280317,0.000844032887873603","-0.0137019509690707,-0.025424870752707,-0.052019610275517,-0.0799033014858091,-0.108210820614804,-0.136461616756011,-0.164172833275538","0.999976148802543,1.00011993774474,1.00026430481915,1.00040979661602,1.00055636821306,1.00070208028935,1.00084438918387",TRUE,|||-Inf|-1.08271010388852|1.37828644569139|-Inf,|||-Inf|-2.53351241310335|0.380895850639177|-Inf,|||0|0.33867643247189|3.96809625004178|0
784,1588697,21603288,37522181,negative,10,TRUE,74,1098,0,1.00001030629929,0.999871774796832,13629.5933578644,"1,2,3,4,5,6,7","1.03062461853654e-05,-3.49257893086374e-05,-8.04437409183123e-05,-0.000126597138232931,-0.000173715770311667,-0.000221881189324868,-0.000270407210119394","-0.00772404365560234,-0.0092274518476715,-0.0168505160978633,-0.0256379037586228,-0.0348312738910244,-0.044314738756974,-0.0539579002802061","1.00001030629929,0.99996507482059,0.999919559494593,0.999873410874847,0.999826299317399,0.999778143424486,0.999729629346615",TRUE,||||0.29945468733794|-0.291039668288725|-1.64958815716855,||||-1.03327671751797|-1.41949235468082|-3.63251152373013,||||1.34912291314075|0.747486025938477|0.192129019288362
785,21601518,21604131,35708208,negative,12,TRUE,99,11598,4,3.25641532289794,1.80187833148199,94725.3432554353,"1,2,3,4,5,6,7","-0.165467484695006,0.0403455796607233,0.250477195870229,0.469960686345431,0.701643471995412,0.942516021652368,1.18062699617828","-0.968851667947954,-0.582996869292275,-0.252296052742354,0.0266230621897554,0.233960849884361,0.341737259994563,0.362804190260055","0.847497419393994,1.04117051938334,1.28463829453361,1.59993129283477,2.01706497471458,2.56643049661567,3.25641532289794",TRUE,|||-Inf|-Inf|1.42759092768761|0.464568162583585,|||-Inf|-Inf|0.514098590711297|-1.44761230369644,|||0|0|4.16864451947748|1.59132684601374
786,21603312,21604434,35708208,negative,10,TRUE,83,11598,4,5.96661883637201,4.08623203221514,94736.1433750533,"1,2,3,4,5,6,7","1.70262600321387,1.77484124244584,1.78618040789597,1.6202520118437,1.20184737118468,0.635517669274168,-0.0194878978157158","-0.725856745563165,0.0154231458432628,0.39244578465986,0.501462644524863,0.450162750144272,-0.115822074331186,-1.49644031875922","5.48834088557964,5.89934449646822,5.96661883637201,5.05436391564523,3.32625607997449,1.88799924772817,0.980700763738219",TRUE,|-Inf|Inf|4.33180458040103|0.879120024743233|0.306015977260538|-Inf,|-Inf||2.49661411746274|-0.454380270842703|-0.612993709039008|-Inf,|0|Inf|76.0814578713969|2.40877910750315|1.35800400355834|0
787,21602898,21604348,35809054,negative,11,TRUE,111,10425,0,2.58605237124393,0.762763361557112,86501.346899119,"1,2,3,4,5,6,7","-1.72001588498093,-1.5568636061833,-1.35271138913552,-1.05640848901706,-0.553085765572421,0.167223823718677,0.950132531979068","-3.80581165408302,-3.00453784801727,-2.43791930741784,-1.96937140594937,-1.25258482173778,-0.530391916675437,-0.314094090188865","0.17906330347174,0.210796175307245,0.258538311478398,0.347702347313678,0.57517222253879,1.182018799546,2.58605237124393",TRUE,|-Inf|-1.13018314599523|-Inf|-1.38831057449659|0.614151618273083|1.12406752163745,|-Inf|-2.45721768014991|-Inf|-2.64513145496861|-0.316534259312614|-0.394904206257841,|0|0.322974099592346|0|0.249496454454039|1.8480880501566|3.07734595208705
788,21604516,21604566,43053854,negative,10,TRUE,115,959,1,97.8915299994629,14.3321336999598,12571.6794468972,"1,2,3,4,5,6,7","-4.86282954444276,-4.61195820863206,-4.20105739379362,-3.38469093709716,-1.84142556540144,0.79221662185533,4.58386002893425","-17.929852296166,-14.6633607310325,-12.1255080265568,-9.63579623928442,-6.37994820862704,-1.73662608604942,3.95313975105996","0.00772858454970488,0.00993234963941174,0.0149797289708016,0.0338881142863198,0.158591182779761,2.20828594002986,97.8915299994629",TRUE,||||||Inf,||||||,||||||Inf
789,21602338,21603897,35104074,negative,14,TRUE,209,2138,0,1.00004009926223,0.999891743308676,24676.9390672839,"1,2,3,4,5,6,7","4.00984582791253e-05,-6.9947279470739e-06,-5.52632962511623e-05,-0.000106065757965013,-0.000158186585485609,-0.000209934080010576,-0.000261527570875941","-0.0107058802658191,-0.00831703243909171,-0.012606267589214,-0.0197199505009883,-0.0276303522254079,-0.0357761838387183,-0.0441097746901302","1.00004009926223,0.999993005296516,0.999944738230737,0.999893939866809,0.999841825925353,0.999790087954606,0.999738506624478",TRUE,||Inf|-1.53260452199065|Inf|-0.651369737982183|-Inf,|||-2.90848848503352||-1.89270921274073|-Inf,||Inf|0.215972429210134|Inf|0.521331200335107|0
790,21604544,21604714,35204960,negative,10,TRUE,382,658,4,7.46224798463835,3.68912772042404,9092.24037268978,"1,2,3,4,5,6,7","0.099718389609861,0.461740750264346,0.8184927761015,1.16180450735274,1.4798457465589,1.76042519852836,2.00985670724574","-1.19694020938041,-0.641579563308034,-0.22016403791519,0.127203254235438,0.450893109054722,0.738776381839843,0.899623516389666","1.10485973428059,1.58683386363542,2.26708026359488,3.19569473089805,4.39226810619135,5.81490935972961,7.46224798463835",TRUE,||||1.41365701497302|2.79927090626183|0.74780667045748,||||-1.1686320089301|1.52591052595614|-0.54336034690468,||||4.11096179689|16.4326614518513|2.11236182633401
