triplet_id,drugA,drugB,meddra,type,N,dynamic,fold_change,model_success,injection_success,n_injected,n_coadmin,n_events,n_stages_significant,max_ior,mean_ior,model_aic,stage,log_ior,log_ior_lower90,ior_values,message
270,21602102,21602737,35809120,positive,1955,inverse_plateau,1.22910067162003,TRUE,TRUE,0,3230,1955,0,22012.6453137978,3186.80582680998,15015.0856662422,"1,2,3,4,5,6,7","4.34784144158427,3.6543942358931,4.38394482231859,2.79193369607257,3.84891138937382,9.99937235420449,3.57324126323733","-18.7268889924259,-19.3841741729962,-18.647840709006,-20.2534274367084,-19.1740009037744,-13.0201585666953,-19.4825962678931","77.3114015078567,38.6441048118613,80.15360228348,16.3125328043018,46.9419339185946,22012.6453137978,35.6318985459459",
271,21602873,21602985,35909513,positive,0,uniform,1.0666719439129,FALSE,FALSE,0,34,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
272,21601390,21603851,35104877,positive,1999,increase,1.31160942816996,TRUE,TRUE,0,257,1999,1,6.14172653990898,0.999144808769046,19989.6678251645,"1,2,3,4,5,6,7","-4.3004750059772,-2.12852402335622,-1.66330557680635,-2.0587282330628,1.81510589805594,-1.39696173908852,-1.86280108044299","-9.46829918538651,-3.18175610160427,-2.46330483028675,-2.83146975424016,0.831109504010956,-1.87857263257109,-2.52789863942124","0.0135621153960674,0.119012824430196,0.189511498764157,0.127616164754917,6.14172653990898,0.247347329183512,0.155237188945498",
273,21600575,21604571,37622449,positive,3115,decrease,1.63217466648516,TRUE,TRUE,0,190,3115,3,3.5569328730427,2.90110708705327,33670.4333387954,"1,2,3,4,5,6,7","1.16395061267488,1.23858874543032,1.26889862099817,1.17724158800574,0.990632626978658,0.807104248376012,0.651158330521029","-0.629396416967581,-0.252572710718022,-0.0285691303048847,0.188807126644096,0.341354627404089,0.220134477863314,-0.240398961393937","3.20256039294977,3.45074015401932,3.5569328730427,3.24540966767946,2.6929375585347,2.24140801916128,1.91776094398565",
274,21602338,21603896,788256,positive,880,plateau,1.38822578638792,TRUE,TRUE,0,1526,880,1,33.1172722939567,4.82508902126684,8141.95239867361,"1,2,3,4,5,6,7","-3.15294417473339,-1.12370594879284,-3.1213139772125,-3.6611899064597,3.50005496785118,-1.51087196465393,-10.3094264187535","-8.66025280703553,-2.01679810802484,-4.84875819530492,-5.66355196459308,3.00949646174378,-2.16031514818472,-21.8038023624848","0.0427261482603618,0.325072856219333,0.0440991850094035,0.0257019116530605,33.1172722939567,0.220717436223891,3.33175451365474e-05",
275,21601390,21603718,35104341,positive,683,inverse_plateau,2.49318335828064,TRUE,TRUE,0,1810,683,1,47.1813602826548,6.87298233172847,3335.70476697637,"1,2,3,4,5,6,7","-1.73923392563201,-1.32516591989091,-1.86645738489164,-2.41626135916587,-1.89741637882139,3.85399890532852,-2.36210793844458","-8.59211149042105,-2.68184659767529,-3.44793384376139,-3.77457866164781,-2.85534153408201,3.2234246306298,-3.91022501794602","0.175654913813946,0.265758860749449,0.154670630906473,0.0892546856727151,0.149955547497725,47.1813602826548,0.094221400804184",
276,21602735,21603362,35809079,positive,0,uniform,1.82287615599732,FALSE,FALSE,0,146,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
277,21604711,21604714,36918957,positive,259,increase,3.16973195213798,TRUE,TRUE,0,174,259,3,1512.11138845667,321.191355763952,2803.07024246009,"1,2,3,4,5,6,7","-4.00145081901375,-1.41024945022972,1.23414277300794,3.94738891029925,6.50810091807254,7.3212622236402,2.32028623827029","-25.0843843159712,-14.8557422565272,-6.96977281715553,-1.06694907903465,4.20484333918533,5.92886175842942,1.43058896605198","0.0182890854783393,0.244082389150698,3.43543231279315,51.7999358215915,670.551774891599,1512.11138845667,10.1785873903839",
278,21600111,21602485,35809243,positive,5260,decrease,5.18232212309868,TRUE,TRUE,0,39,5260,3,6.7057254212883,3.63570528065737,44603.4616549035,"1,2,3,4,5,6,7","0.192684752968009,0.539956767424203,0.880466388765853,1.20312863562666,1.4921324604542,1.7275170491548,1.90296170197586","-1.51771320355566,-1.00945767048966,-0.616723729835412,-0.252265315764793,0.155944637938889,0.60212781761182,0.841041486911464","1.21250049608054,1.71593267639175,2.41202438520427,3.33052062503627,4.44656754550098,5.62666581509944,6.7057254212883",
279,21603131,21603718,36313594,positive,668,plateau,1.99596379691722,TRUE,TRUE,0,132,668,2,1277.28658864257,235.826866182143,9034.08276042977,"1,2,3,4,5,6,7","-18.4481244318832,-12.2350985307155,-5.64607837242724,1.89364122524646,7.15249325422266,1.74452579157386,5.8892414278678","-72.6318665519821,-44.2326106913472,-20.2644442367529,-1.87642484766764,5.92265318720858,-0.86636851123639,4.71185394659368","9.72929468682391e-09,4.85695659748404e-06,0.00353133824930826,6.64351522822981,1277.28658864257,5.72318684839477,361.131236350869",
280,21602338,21603087,35909508,positive,720,inverse_plateau,1.25093291203181,TRUE,TRUE,0,63,720,3,234.331544397762,42.9597410324837,9632.11644571785,"1,2,3,4,5,6,7","3.47907532995176,2.54988346175961,1.72605206511723,1.31181161255427,1.80720822568087,5.45673696896446,1.74511762192265","-3.92293966115566,0.80320545202921,-0.260032493895291,-0.855166120690768,0.285604924453902,3.70465651053117,-1.11319189876747","32.4297214155798,12.805611352288,5.618428874462,3.71289394842975,6.09341223229213,234.331544397762,5.72657500657201",
281,21602737,21604348,36718500,positive,0,uniform,5.84837147317139,FALSE,FALSE,0,272,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
282,21602737,21603718,36110597,positive,3808,increase,2.05696200097018,TRUE,TRUE,0,335,3808,3,171.026867372475,25.639782733826,38311.5699331848,"1,2,3,4,5,6,7","-4.09579803583977,-1.39627197939728,0.535856320634359,1.10422936122952,5.14182066329802,1.23999254338758,-5.10703881613432","-12.2502199947306,-2.9455141581082,-0.570989355466561,0.0565611411061269,4.61165540983358,0.51327018775887,-12.5575831256947","0.0166424597027255,0.247517998254474,1.708910991618,3.01689863367859,171.026867372475,3.45558769768847,0.00605398336513399",
283,21604543,21604544,36718180,positive,1681,decrease,1.23078449704618,TRUE,TRUE,0,327,1681,4,1103.27603413767,206.06026852106,19902.6266647558,"1,2,3,4,5,6,7","4.28034112548589,7.00603924554871,5.49539062779508,1.96005544886341,-0.143120672828781,0.601009023179438,2.60444948895271","1.66661074550843,4.14609254948751,2.16869100425971,-0.65547863533132,-2.16628438671815,-0.462097668035333,1.78647807119364","72.265087266189,1103.27603413767,243.566651484186,7.09972072568726,0.866649481540691,1.82395828838273,13.5237782637619",
284,21601129,21601423,35227885,positive,774,plateau,2.6389941671924,TRUE,TRUE,0,1421,774,1,1016.16927824979,145.78576137064,8144.98935629467,"1,2,3,4,5,6,7","-23.3343326624779,-16.1402361841064,-8.48392127451791,0.343627600729719,6.92379522671069,0.780263554080803,-0.30280414555672","-73.1674511930693,-45.4850893480586,-21.780502952572,-2.97340937825466,6.20323417198243,-0.131008278225168,-2.20333792787851","7.34561370648908e-11,9.78102769530809e-08,0.000206766323462282,1.41005343485138,1016.16927824979,2.18204727718594,0.738743768452182",
285,21603967,21604344,37622449,positive,3388,inverse_plateau,1.89885351310174,TRUE,TRUE,0,1048,3388,2,126.361559568027,18.6260241874887,33888.5044807056,"1,2,3,4,5,6,7","-1.04341959162461,0.809450393079441,-0.82114332779978,-1.75883593965919,-0.540941644866518,4.83914731811814,-1.48141677987179","-5.39196723437406,0.000402721658727123,-2.21836695263287,-3.47429756115861,-1.53730141706467,4.52057585773153,-2.89754560454065","0.352248075515116,2.2466728603383,0.439928384507612,0.172245251034643,0.582199768752591,126.361559568027,0.227315404245598",
286,21601435,21603718,36009955,positive,0,uniform,4.02528494331325,FALSE,FALSE,0,1104,,,,,,"1,2,3,4,5,6,7","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",No se generaron eventos nuevos con las probabilidades dinámicas
287,21601423,21603800,35909624,positive,787,increase,6.86728710286169,TRUE,TRUE,0,1396,787,3,179.111228114445,28.849080885332,6479.60072876064,"1,2,3,4,5,6,7","2.41589730225583,1.43236723292078,0.570257318496335,1.65413595025317,5.18800699897456,-0.80618067705239,-9.47136454573493","-5.77011553682755,0.18426546270382,-0.513183193833341,0.933645020668348,4.47241984662694,-1.79214274266414,-17.416538649544","11.1998154698137,4.18860286374052,1.76872211779851,5.22856023369523,179.111228114445,0.446560371601368,7.70262299255027e-05",
288,21601392,21602734,36009895,positive,538,decrease,1.09298125468194,TRUE,TRUE,0,113,538,2,608.534645800615,93.2392682511071,6961.47331836999,"1,2,3,4,5,6,7","6.41105384720876,3.68291670466207,1.03566394068845,-0.733134428957787,-1.09114614241456,-0.93157043315708,-1.04728376397992","2.16527988541205,1.58573873067118,-0.127721052968496,-1.80491824550703,-1.90360528814747,-1.78307057246858,-2.87913102870493","608.534645800615,39.7621996983043,2.81697591980722,0.480400845417562,0.335831362472603,0.39393457642407,0.350889554709206",
289,21604272,21604571,36718321,positive,4786,plateau,1.37819767122467,TRUE,TRUE,0,200,4786,2,47.3160801236271,7.91859601356123,47655.860428403,"1,2,3,4,5,6,7","0.265944096914731,0.667143604120764,-1.22877002362461,0.463441940484828,3.85685019805485,0.80822702832193,-0.308357517764217","-3.05107314525059,-0.312741090735296,-3.22560313208943,-1.45147121016399,3.06675526109366,0.157756582997812,-2.22871576219378","1.3046621220104,1.94866320992958,0.292652311833011,1.58953566737522,47.3160801236271,2.2439260404632,0.734652619690141",
290,21601390,21603929,36311824,positive,925,inverse_plateau,1.06744540961531,TRUE,TRUE,0,2833,925,1,359.048673273553,51.521657647575,3807.63897728154,"1,2,3,4,5,6,7","-7.80970355340267,-5.67774497395202,-3.44369009386073,-1.86307456997479,-0.57198472227078,5.88345795944729,-0.165396294774005","-34.8990274396869,-18.8325210447119,-8.82700266418036,-3.84080235603783,-1.56619820150214,5.23041043142443,-1.43223891734765","0.000405778321594607,0.00342126479234475,0.0319465816701933,0.155194739004448,0.564404140867125,359.048673273553,0.847557754815942",
